Nome;Pergunta;Resposta
Angipress CD;Qual é a posologia recomendada para Angipress CD?;A posologia deve ser individualizada.
Tramal;De que maneira Tramal deve ser administrado?;O medicamento deve ser tomado conforme for orientado pelo médico e a dose deve ser ajustada à intensidade da dor e a menor dose analgésica deve ser tomada.
Sineflex;Quais são os processos biológicos desencadeados por Sineflex?;Sineflex é um suplemento alimentar queimador de gordura e termogênico, que apresenta um sistema bloqueador de gordura e propriedades estimulantes termogênicas. Sineflex possui na sua fórmula uma combinação de cafeína e sinefrina, que promovem o aumento na quantidade de denosina 3′,5′- monofosfato cíclico, o que resulta num forte estímulo na quebra de gordura.
Miconazol;Quais são os possíveis efeitos colaterais associados a Miconazol?;Geralmente, este remédio é bem tolerado. No entanto, existem relatos isolados de irritação, formação de bolhas ou de sensação de queimação associados com a utilização deste produto.
Merthiolate Solução Desinfetante;Quais são os riscos para a saúde relacionados ao uso de Merthiolate Solução Desinfetante?;Alguns dos efeitos colaterais de Merthiolate podem incluir reações de alergia na pele como vermelhidão, ardor, coceira e inchaço no local da aplicação.
Nedax Plus;Quais são os riscos para a saúde relacionados ao uso de Nedax Plus?;Em estudos clínicos, aproximadamente 75% dos pacientes tratados com a permetrina a 5% que continuaram a manifestar sensação de prurido, após duas semanas de tratamento, tiveram o sintoma cessado após quatro semanas. Nos estudos clínicos, geralmente foram reportadas sensações leves e passageiras de queimação e picada, em 10% dos pacientes, e estavam associadas com a severidade da infestação. Prurido foi relatado em 7% dos pacientes em diferentes períodos após a aplicação. Eritema, dormência, formigamento e erupções cutâneas foram relatadas em 1 a 2% ou menos dos pacientes.
Aimovig;Quais os males que Aimovig pode me causar?;Os efeitos colaterais mais comuns que podem ocorrer com este medicamento são reações no local da injecção e prisão de ventre.
Forten;Como funciona Forten?;Forten​ é um medicamento que tem na sua composição uma associação dos principais aminoácidos e de Vitamina B12, fornecendo ao organismo as substâncias biológicas necessárias para a normalização do metabolismo do corpo, principalmente dos sistemas nervoso central e muscular.
Sedalex;Quais são as contraindicações para Sedalex?;Sedalex está contraindicado para mulheres grávidas e crianças, pacientes com glaucoma, obstrução pilórica ou duodenal, acalasia do esôfago, úlcera péptica estenosante, hipertrofia prostática, obstrução do colo da bexiga, Miastenia grave, pacientes com porfiria aguda do fígado intermitente, deficiência congênita da glicose-6-fosfatodesidrogenase, função da medula óssea insuficiente ou doenças do sistema hematopoiético, pacientes com historial de broncospasmo ou asma causados por reações anafiláticas a medicamentos como salicilatos, paracetamol, diclofenaco, ibuprofeno, indometacina e naproxeno, pacientes com alergia aos derivados de pirazolonas como fenazona ou propifenazona ou a pirazolidinas como fenilbutazona ou oxifembutazona e para pacientes com alergia ao Citrato de orfenadrina, à Dipirona sódica, à Cafeína​ ou a algum dos componentes da fórmula.
Dexamex;Quais são as orientações específicas para utilizar Dexamex?;"Comprimidos e Elixir: as doses são variáveis e devem ser utilizadas pelo médico de acordo com a enfermidade, idade, quadro clínico geral e resposta do paciente; a dose inicial varia de 0,75 mg a 9 mg ao dia, devendo ser reduzida gradativamente.Creme dermatológico: aplicação tópica 2 a 4 vezes ao dia; se necessário cobrir o local com um curativo poroso (gase)."
Clorpromaz;Quais são os possíveis efeitos colaterais associados a Clorpromaz?;"Algumas reações adversas do Clorpromaz são mais prováveis de ocorrer ou ocorrem com maior intensidade em pacientes com problemas médicos especiais (por exemplo, pacientes com insuficiência mitral ou feocromocitoma tem experimentado hipotensão severa após o uso das doses recomendadas).Pode ocorrer sonolência, normalmente leve ou moderada, particularmente durante a primeira ou segunda semana. Depois desse período, ela normalmente desaparece. Se persistir, pode ser necessária redução da dosagem.Apesar da incidência de icterícia ser baixa, pode ser um indicativo de reação de sensibilidade.Hipotensão ortostática, taquicardia, desmaio e tontura têm ocorrido após a primeira injeção e, ocasionalmente, após injeções subseqüentes.Pacientes recebendo fenotiazinas podem apresentar alterações no eletrocardiograma.Podem ocorrer reações extrapiramidais, incluindo distonias (espasmos da musculatura do pescoço, dificuldade para engolir, crises oculógiras, etc.), agitação motora (agitação, tremores e, algumas vezes, insônia), pseudoparkinsonismo e discinesia tardia.Sintomas psicóticos e estados do tipo catatônico têm sido reportados raramente.Reações alérgicas: urticária leve ou fotosensibilidade.Endócrinas e Metabólicas: amenorréia, galactorréia, ginecomastia, hiperprolactinemia, hiperglicemia, hipoglicemia, glicosúria.Reações autonômicas: boca seca, congestão nasal, obstipação, constipação, íleo adinâmico, retenção urinária, priapismo, miose e midríase, cólon atônico, desordens de ejaculação/impotência.Hematológicas: agranulocitose, eosinofilia, leucopenia, anemia hemolítica, anemia aplástica, púrpura trombocitopênica e pancitopenia.Outras: febre moderada após injeção IM; hiperpirexia; aumento de apetite e ganho de peso; edema periférico; síndrome do tipo lupus eritematoso sistêmico.Pigmentação da pele e alterações oculares têm ocorrido com o uso prolongado de doses altas de Clorpromaz."
Sigmaliv;Quando não devo usar Sigmaliv?;Este remédio não deve ser usado em pessoas com hipersensibilidade a qualquer um dos componentes da fórmula, durante a gravidez ou a amamentação.
Estriopax;Para que serve Estriopax?;Estriopax é indicado como de Terapia de Reposição Hormonal para o tratamento de queixas da menopausa e para melhorar a cicatrização após cirurgias vaginais e auxiliar na avaliação da secreção vaginal em mulheres na pós-menopausa, em mulheres.
Zerbaxa;Qual é o propósito principal de Zerbaxa na área da saúde?;O Zerbaxa é um medicamento que pode ser usado no tratamento de uma variedade de infeções bacterianas.
Gynomax creme;Qual é o propósito principal de Gynomax creme na área da saúde?;Indicado para tratar infecções e inflamações dos genitais femininos e da vagina causadas por fungos e bactérias.
Piroxene;Quais são os possíveis efeitos colaterais associados a Piroxene?;"A incidência de reações adversas é baseada em pesquisas clínicas.Aproximadamente 30% de todos os pacientes que receberam doses diárias de 20 mgexperimentaram efeitos colaterais. Sintomas gastrintestinais são os mais freqüentementeencontrados, mas na maioria dos casos não interferem no curso do tratamento. Estas reaçõesincluem: estomatites, anorexia, desconforto epigástrico, náuseas, constipação, desconfortoabdominal, flatulência, diarréia, dor abdominal e indigestão.Dos pacientes que experimentaram efeitos colaterais gastrintestinais, aproximadamente 5%interromperam o tratamento com uma incidência total de úlcera péptica de aproximadamente1%.Outras reações gastrintestinais ocorreram com menor freqüência, tais como: disfunçãohepática, vômitos, hematemese, melena, sangramentos gastrintestinais, perfuração eulceração, boca seca.Podem ocorrer efeitos sobre o SNC tais como tontura, sonolência, cefaléia, vertigem e outrosmenos freqüentes como depressão, insônia, nervosismo, alucinação, alterações de humor,pesadelos, confusão mental e parestesias.Edema dos olhos, visão turva e irritações ocorrem menos freqüentemente.Reações dérmicas de hipersensibilidade na forma de ""rash"" cutâneo e prurido podem ocorrer.Menos freqüentemente podem aparecer sudorese, eritema, descamação, dermatite esfoliativa,eritema multiforme, necrólises epidérmicas tóxicas, síndrome de Stevens-Johnson, reaçõesvesículo-bolhosas e reações fotoalérgicas da pele.Pode ocorrer diminuição na hemoglobina e no hematócrito, anemia, leucopenia, eosinofilia ecom menos freqüência trombocitopenia, petéquias, equimose, depressão da medula ósseaincluindo anemia aplástica e epistaxe.Efeitos relacionados ao sistema cardiovascular e respiratório podem ocorrer, tais como edemae menos freqüentemente hipertensão, piora do quadro de insuficiência cardíaca congestiva eda angina, palpitações e dispnéia.Alterações metabólicas como hipoglicemia, hiperglicemia, aumento ou diminuição do pesopodem ser raramente observadas.Também podem ser observadas reações de hipersensibilidade como anafilaxia,broncoespasmo, urticária/angioedema, vasculites e doenças do soro. Casos esporádicos deanticorpos antinucleares (ANA) têm sido relatados.Pode ocorrer elevação da creatinina e raramente disúria."
Priorix;Em que circunstâncias eu não deveria utilizar Priorix?;Assim como OCORRE COM outras vacinas, a administração de Priorix deve ser adiada em indivíduos apresentando doença febril aguda grave. A presença de infecção leve, no entanto, não é contra-indicação para a vacinação.Priorix é contra-indicada PARA indivíduos com hipersensibilidade sistêmica E conhecida à neomicina ou a qualquer outro componente da vacina. Um histórico de dermatite de contato à neomicina não é contra-indicação.Priorix não deve ser administrada EM indivíduos com respostas imunOdeficientes. Isto inclui pacientes com imunodeficiências primária ou secundária.Entretanto, as vacinas combinadas contra sarampo, caxumba e rubéola podem ser administradas EM pessoas assintomáticas infectadas pelo vírus HIV, sem conseqüências adversas para A doença, e as vacinas também podem ser consideradas para aqueles indivíduos que são sintomáticos.É contra-indicado administrar Priorix EM mulheres grávidas. Além disso, a gravidez deve ser evitada por três meses após a vacinação.
Tafinlar;Como usar Tafinlar?;Geralmente a dose recomendada é de 2 cápsulas de 75 mg, administradas 2 vezes por dia.
Andriodermol;Quais são os processos biológicos desencadeados por Andriodermol?;Andriodermol é um medicamento antimicótico que tem na sua composição Ácido undecilênico, Undecilenato de zinco, Propionato de cálcio e Hexilresorcinol, compostos capazes de tratar micoses nas unhas e na superfície da pele. Estes compostos apresentam propriedades fungicida, fungistática, bacteriostática e bactericida, e são ativos contra alguns fungos patogênicos, incluindo Epidermophyton, Trichophyton e Microsporum sp.
Sedilax;Quais são os processos biológicos desencadeados por Sedilax?;O Sedilax tem uma ação relaxante muscular, anti-inflamatória e analgésica.
Dexason creme;Quais são as contraindicações para Dexason creme?;Este medicamento não deve ser aplicado em presença de tuberculose da pele, varicelas, infecção por fungo ou herpes simples. não usar em pacientes com história de hipersensibilidade conhecida a corticóides. não aplicar no ouvido se houver perfuração na membrana do tímpano.
Haar;O que Haar pretende tratar?;O Haar-intern é um medicamento destinado ao tratamento e profilaxia de hipovitaminoses A, B6 e D3.
Atlansil;Existem reações adversas conhecidas de Atlansil?;"Microdepósitos corneanos, fototoxicidade cutânea, pigmentação grisácea cutânea (todos reversíveis); sinais de hiper ou hipotireoidismo; pneumopatia intersticial difusa; neuropatia periférica (rara), elevação das transaminases; hepatopatia aguda (rara); hipotensão e flebite (forma injetável)."
Hyperium;Existem reações adversas conhecidas de Hyperium?;Embora sejam raros, este medicamento pode provocar efeitos colaterais como sensação de fraqueza, palpitações, insônia, sonolência, fadiga ao esforço, dor de estômago, secura da boca, diarréia e erupções cutâneas.
Hidantina;Quais são os possíveis efeitos colaterais associados a Hidantina?;Alguns dos efeitos colaterais da Hidantina incluem síndrome de hipersensibilidade, náuseas, vômitos, hipertrofia gengival, vertigens, perturbação visual, ataxia, confusão mental, síndrome cerebelo vestibular, trombocitopenia, granulocitopenia, agranulocitose, pancitopenia, arritmias atriais e ventriculares, hipotensão, alterações na função respiratória, rash cutâneo, hirsutismo, eritema polimorfo, urticária, pigmentação cutânea no rosto e pescoço ou pensamentos de auto-agressão e suicídio.
Cicatrene;Quais são as orientações específicas para utilizar Cicatrene?;É recomendado passar Cicatrene 2 a 5 vezes ao dia, com a ajuda de uma gaze, durante 2 a 3 dias de tratamento.
Lactosil;Qual é a posologia recomendada para Lactosil?;A dose de Lactosil a utilizar, vai depender directamente da quantidade de lactose presente no alimento a ingerir, pelo que a dose a utilizar deve ser calculada de acordo com a quantidade de lactose indicada na embalagem do produto.
Cicatricure creme;Para que serve Cicatricure creme?;Reduz rugas e linhas de expressão visivelmente.
Sedalex;Quais são os possíveis efeitos colaterais associados a Sedalex?;Alguns dos efeitos colaterais de Sedalex podem incluir boca seca, confusão mental, redução ou aumento do ritmo cardíaco, palpitações, sede, diminuição da quantidade de suor, dificuldade ou hesitação em urinar, visão embaçada, dilatação da pupila, aumento da pressão dentro do olho, fraqueza, enjoo, vômito, dor de cabeça, tontura, prisão de ventre, sonolência, reações de alergia como coceira, vermelhidão, urticária ou inchaço na pele, coceira, alucinações, agitação, tremor, irritação no estômago ou urticária na pele.
Aradois H;Quais são os possíveis efeitos colaterais associados a Aradois H?;Os efeitos adversos mais comuns são náusea, vômitos, cólicas, diarreia, prisão de ventre, dor de cabeça, fraqueza, tontura, cansaço excessivo, urticária, alteração do paladar, visão embaçada ou aumento da sensibilidade da pele ao sol.
Amplatil 500 mg ou 1 g;Há alguma condição específica em que o uso de Amplatil 500 mg ou 1 g é desaconselhado?;Amplatil está contraindicado para pacientes com alergia às Penicilinas ou outros componentes da fórmula, assim como para pacientes com historial de alergia às Cefalosporinas.
Rinofluimucil;Quais são os princípios do funcionamento de Rinofluimucil?;Rinofluimucil é um spray que contém acetilcisteína que fluidifica as secreções ou o muco das vias aéreas facilitando a sua limpeza e o sulfato de tuaminoeptano que promove o alívio imediato da congestão nasal provocada pela rinite e sinusite.
Para que serve o Motilium;Há alguma condição específica em que o uso de Para que serve o Motilium é desaconselhado?;Este medicamento não deve ser usado em pessoas com hipersensibilidade a qualquer um dos componentes da fórmula, com prolactinoma, doença da hipófise, dores de estômago severas, fezes escuras persistentes ou doença do fígado.
Circadin;Como usar Circadin?;A dose recomendada para adultos é de 1 comprimido, equivalente a 2 mg, 1 vez por dia, 1 ou 2 horas antes da hora de deitar.
Isketam;Qual é o propósito principal de Isketam na área da saúde?;"Isketam é indicado nos estados de déficit intelectual como ocorre na insuficiência vascular cerebral, nos acidentes vasculares cerebrais, nas síndromes pós-traumáticas; nos distúrbios vestibulares de origem vascular, tais como: vertigens, déficits auditivos senis; nos distúrbios da vigilância e da consciência (delírios, confusões mentais de origem vascular); nos distúrbios do comportamento e integração ao meio consequente à involução senil; nas sequelas de patologia do sistema nervoso central como ocorrem nos estados pós-meningo-encefalites e nas alterações funcionais e deficiências intelectuais secundárias ao alcoolismo e à toxicomania."
Hirudoid;Há alguma condição específica em que o uso de Hirudoid é desaconselhado?;Hirudoid Gel e Pomada não devem ser usados em pessoas alérgicas ou sensíveis a qualquer um dos componentes da fórmula.
Melagenina Plus;Quando não devo usar Melagenina Plus?;Melagenina Plus está contraindicada para pacientes em tratamento com corticoides ou com medicamento para a psoríase, com outras doenças ou problemas na pele e para pacientes com alergia a algum dos componentes da fórmula.
Fulcin;Quais são os potenciais efeitos indesejados de Fulcin?;As reações mais frequentes são dor de cabeça, desconforto gástrico, tontura e cansaço.
Neodex creme;Há alguma condição específica em que o uso de Neodex creme é desaconselhado?;Neodex creme está contraindicado para pacientes portadores de tuberculose pulmonar ou cutânea, infecções virais tópicas ou sistêmicas como vacínia, varicela e herpes simples, úlcera péptica, osteoporose e diabetes mellitus e para pacientes com alergia a algum dos componentes da fórmula.
Sintocalmy gotas;De que maneira Sintocalmy gotas deve ser administrado?;A dose recomendada é de um comprimido por dia e a duração do tratamento não deve ser superior a 3 meses.
Pilem;De que maneira Pilem deve ser administrado?;O primeiro comprimido deve ser ingerido o mais brevemente possível, não ultrapassando 72 horas após o contacto íntimo desprotegido. O segundo comprimido deve ser tomado 12 horas após a primeira dose. O tratamento não deve ser desnecessariamente tardio já que a eficácia pode diminuir com o tempo.
Zelboraf;Em que situações médicas é recomendado o uso de Zelboraf?;Zelboraf é indicado para o câncer de pele, no tratamento do melanoma que já se espalhou para outras partes do corpo.
For Gas;Como usar For Gas?;For Gas gotas
Lerin;Quais são as orientações específicas para utilizar Lerin?;Instilar 1 a 2 gotas em cada olho de 2 em 2 horas. - Superdosagem: normalmente, superdosagens não provocam problemas agudos. Para excesso de produto instilado no olho, lavar com água ou soro fisiológico. Se acidentalmente for ingerido, beber bastante líquido para provocar diluição.
Foradil 12 mcg;Qual é a posologia recomendada para Foradil 12 mcg?;O Foradil deve ser usado da seguinte forma:
Dividol;Para que serve Dividol?;O Dividol é um analgésico indicado para o tratamento de:
Tamiram;Quais são os potenciais efeitos indesejados de Tamiram?;Tamarim é, em geral, bem tolerado.
Polaramine;Para que serve Polaramine?;Polaramine é indicado para o tratamento de alergias, urticária, coceira, vermelhidão, rinites alérgica, picada de inseto, conjuntivite alérgica, dermatite atópica e eczemas alérgicos, em adultos e crianças.
Artren;Quais são os processos biológicos desencadeados por Artren?;Artren tem ação analgésica e anti-inflamatória, que se manifesta uma hora após a ingestão da cápsula, permanecendo por tempo prolongado.
Propilracil 100 mg;Quais são os possíveis efeitos colaterais associados a Propilracil 100 mg?;Embora seja raro, podem ocorrer reações adversas como náusea, vômito, coceira, sonolência, vertigem, febre, dor de garganta, vermelhidão da pele, dores de cabeça, mal-estar, dores nas articulações, alterações da sensibilidade, perda do paladar, queda anormal de cabelos, dores musculares, inchaço, nflamação nos nervos, alterações da coloração da pele, icterícia, alterações das glândulas salivares e dos gânglios.
Andolba;Em que circunstâncias eu não deveria utilizar Andolba?;Andolba está contraindicado para crianças com menos de 12 anos de idade e pacientes com alergia à Benzocaína, ao Mentol, ao Cloreto de Benzetônio, à Benzoxiquina ou a algum outros componente da fórmula. Além disso, a administração de Andolba também esta contraindicada em pele ferida, rachada, gravemente queimada ou infectada.
Aloxidil;Em que circunstâncias eu não deveria utilizar Aloxidil?;O Aloxidil é contraindicado em crianças, pessoas com perda repentina de cabelos, calvície completa, queda de cabelos devida ao uso de medicamentos, deficiências alimentares, quimioterapia ou situações que causem danos ao couro cabeludo e em pessoas com alergia a qualquer componente da fórmula.
Citalor;Existem situações em que o uso de Citalor não é recomendado?;"Citalor* (atorvastatina cálcica) é contra-indicado em pacientes que apresentem hipersensibilidade à quaisquer dos componentes de sua fórmula; doença hepática ativa ou elevações persistentes inesperadas das transaminases séricas, excedendo em 3 vezes o limite superior da normalidade; durante a gravidez ou lactação ou em mulheres em idade fértil que não estejam utilizando medidas contraceptivas eficazes. Citalor* (atorvastatina cálcica) deve ser administrado a mulheres em idade fértil somente quando verificar-se altamente improvável a gravidez e quando estas pacientes tenham sido informadas dos potenciais riscos ao feto."
Betalor;De que maneira Betalor deve ser administrado?;Recomenda-se, para pacientes que não tenham recebido tratamento medicamentoso anti-hipertensivo anterior, o emprego de uma dose inicial de Betalor (besilato de anlodipino + atenolol)5mg + 25 mg uma vez ao dia.
Actonel;Em que circunstâncias eu não deveria utilizar Actonel?;Este medicamento não poderá ser utilizado em pessoas com alergia ao risedronato de sódio ou a qualquer outro componente da fórmula.
Gets;O que Gets pretende tratar?;Gets-It é indicado para o tratamento e remoção de calos, calosidades, verrugas comuns e acne, em adultos e crianças.
Dramin;O que Dramin pretende tratar?;Dramin é indicado para:
Clozapina;Quais são os potenciais efeitos indesejados de Clozapina?;Alguns dos efeitos colaterais de Clozapina incluem sonolência, tontura, prisão de ventre, aumento da produção de saliva, aumento de peso, fala arrastada, movimentos anormais, incapacidade de iniciar o movimento, incapacidade de permanecer imóvel, inquietação, membros rígidos, tremor nas mãos, agitação, rigidez nos músculos, dor de cabeça, visão embaçada, dificuldade para ler, tontura ao levantar, pressão alta, náusea, vômito, boca seca, retenção de urina, febre, cansaço, batimento cardíaco rápido e irregular com falta de ar e inchaço das pernas e pés, sinais de infecção como febre, calafrios graves, dor de garganta ou ulceras na boca, convulsões, alterações nos resultados dos exames de sangue e perda de consciência ou desmaio.
Naproxeno;Existem reações adversas conhecidas de Naproxeno?;Informe ao seu médico sobre o aparecimento de reações desagradáveis tais como: náuseas, dor abdominal, dores no estômago, diarreia, azia, dor de cabeça, enxaqueca, zumbido, tonturas, sonolência, sudorese, prurido, alterações na audição e visão, falta de ar, inchaço, palpitações e sede bem como quaisquer outros sinais ou sintomas.
Shingrix;Qual é o mecanismo de ação de Shingrix?;O risco de desenvolver herpes zooster aumenta com a idade e parece estar relacionado com uma diminuição da imunidade específica ao vírus da varicela zooster. Assim, a Shingrix aumenta a resposta imunitária específica ao vírus da varicela zooster
Stavigile;Quais são os possíveis efeitos colaterais associados a Stavigile?;"Os efeitos adversos mais comuns são reações alérgicas como coceira ou inchaços nas mãos ou face; inchaço ou formigamento na boca ou garganta, dor no peito, problemas respiratórios; alterações nos batimentos cardíacos, agitação, agressividade, confusão ou excitação; dormência; formigamento ou queimação nas mãos, braços, pernas ou pés; náusea severa, vômitos ou diarréia; tremores; sangramento anormal, hematomas ou fraqueza; pensamentos ou comportamentos anormais."
Qlaira;Como usar Qlaira?;Para auxiliar no controle da ingestão dos comprimidos, dentro do cartucho do medicamento há um calendário-adesivo com 7 tiras adesivas mostrando os dias da semana. Deve-se retirar a tira que corresponde ao dia do início de uso, por exemplo, se a pessoa iniciar a Qlaira na quarta-feira, deve utilizar o adesivo que começa com Qua e colar no espaço indicado para a mesma, de modo que o dia da semana correspondente ao “Início” fique exatamente acima do comprimido de número 1, desta forma, a pessoa pode verificar se tomou a pílula de um determinado dia da semana. Deve-se seguir a direção das flechas, até que se tenham tomado todos os 28 comprimidos.
Candoral;Qual é a finalidade do medicamento Candoral?;Candoral é indicado para:
Gardasil;Quando não devo usar Gardasil?;Gardasil está contraindicado para pacientes com alguma doença com febre elevada e para pacientes com alergia a algum dos componentes da fórmula de Gardasil ou que no passado tenham desenvolvido alguma reação alérgica após receber uma dose de Gardasil.
Nedax Plus;Para que serve Nedax Plus?;A permetrina a 5% é indicada para o tratamento de infestações por Sarcoptes scabiei (escabiose).
Epitezan;Quais são as contraindicações para Epitezan?;Lesões contaminadas por germes resistentes ao cloranfenicol. Hipersensibilidade aos componentes da fórmula.
Valdoxan;Qual é o mecanismo de ação de Valdoxan?;Valdoxan é um medicamento que tem na sua composição Agomelatina, um composto capaz de ajudar a restaurar o equilíbrio dos mensageiros cerebrais, responsáveis por controlar as emoções e comportamentos.
Fexofenadina;O que Fexofenadina pretende tratar?;O Cloridrato de fexofenadina está indicado como anti-histamínico no tratamento das manifestações alérgicas, tais como rinite alérgica e urticária.
Gazyva;Quais são os princípios do funcionamento de Gazyva?;Gazyva é um anticorpo monoclonal que tem na sua composição a substância Obinutuzumab, que pertence ao grupo dos agentes anti-neoplásicos ou agentes anticancerígenos. Os anticorpos monoclonais são proteínas muito específicas, capazes de se ligar especificamente a outras proteínas do corpo. Gazyva é capaz de reconhecer e de se ligar muito especificamente à proteína CD20, uma proteína encontrada na superfície dos glóbulos brancos, também conhecidos como linfócitos B. Gazyva é assim capaz de interromper o crescimento anormal dos linfócitos B, uma vez que o crescimento anormal destas células está na origem da leucemia linfocítica crônica.
Psorex creme;Em que circunstâncias eu não deveria utilizar Psorex creme?;Se você responder “SIM” a qualquer uma das perguntas abaixo, fale com seu médico a respeito, antes de usar Psorex Creme ou Pomada: - Você já teve uma reação alérgica a algum dos componentes presentes na formulação (veja em Composição)? - Você apresenta inflamação e/ou coceira na região anal ou genital?  -Você apresenta lesões semelhantes à acne ou vermelhidão na área próxima ao nariz, bochecha, testa ou queixo? -Você apresenta lesões com vermelhidão próximas à boca?   -Você apresenta lesões na pele causadas por vírus, fungos ou bactérias?  -O bebê tem menos de 1 ano de idade e apresenta dermatoses, incluindo dermatite e erupção de fralda?
Gino Pletil;Qual é a finalidade do medicamento Gino Pletil?;Tratamento tópico das vulvovaginites sensíveis aos componentes da fórmula.
Naturetti;Quais são os riscos para a saúde relacionados ao uso de Naturetti?;Naturetti é um produto seguro, porém ocasionalmente podem ocorrer diarréia, cólicas ou vômitos que desaparecem com a  suspensão do uso ou simples redução da dose.
Neodex creme;Qual é o propósito principal de Neodex creme na área da saúde?;Neodex creme é indicado para o tratamento de infecções bacterianas e feridas inflamadas na pele, como as que surgem nos casos das dermatites esfoliativa, herpetiforme bolhosa ou seborreica grave, pênfigo, psoríase grave, dermatoses ou úlceras, em adultos.
Ritmoneuran;Quais são as instruções para o uso correto de Ritmoneuran?;Ingerir 2 cápsulas, 2 a 3 vezes ao dia, em intervalos de 8 a 12 horas.
Canabidiol;Qual é a finalidade do medicamento Canabidiol?;Canabidiol é um medicamento para o tratamento de epilepsia, esquizofrenia, Mal de Parkinson, esquizofrenia, autismo, dor neuropática, ansiedade e insônia.
Maxsulid 400;Qual é a posologia recomendada para Maxsulid 400?;A dose recomendada de Maxsulid é de 1 comprimido, 2 vezes ao dia, com um pouco de água e sem mastigar.
Tetralysal cápsulas de 150 e 300 mg;Quais são os riscos para a saúde relacionados ao uso de Tetralysal cápsulas de 150 e 300 mg?;Alguns dos efeitos colaterais de Tetralysal podem incluir dor de cabeça, náusea, dor abdominal e diarreia.
Oscillococcinum;Como Oscillococcinum atua no organismo para produzir seus efeitos?;"Oscillococcinum é um medicamento homeopático, feito a partir de extrato filtrado do coração e fígado fresco de pato “Anas barbariae”. Oscillococcinum foi desenvolvido com base na lei da cura da homeopatia, ""O semelhante pode curar o semelhante"", onde as substâncias que provocam alguns dos sintomas da gripe, como dores no corpo, febre, calafrios, dor de cabeça ou indisposição, são neste medicamento utilizadas em doses homeopáticas, para auxiliar na prevenção e no tratamento desses mesmos sintomas."
Gilenya;Qual é o mecanismo de ação de Gilenya?;O Gilenya tem na sua composição fingolimode, que pode alterar a forma como o sistema imune funciona e ajuda a combater ataques ao sistema imune, afetando a habilidade de algumas células brancas sanguíneas de se moverem livremente no sangue e impedindo as células que causam inflamação de chegarem ao cérebro, o que reduz os danos nos nervos causados pela esclerose múltipla.
