Nome;Para que serve?;Como usar?;Quais os males que pode me causar?;Quando não devo usar?;Como funciona?;O que devo saber antes de usar?;O que fazer se alguém usar uma quantidade maior do que a indicada?;Onde como e por quanto tempo posso guardar?;Laboratório
Artren;Artren é indicado para tratar dor, inflamação e febre.;Ingerir uma cápsula ao dia, sem mastigar, antes ou depois das refeições, com um pouco de água ou outro líquido.;"Como todos os medicamentos, Artren pode causar algumas reações desagradáveis; no entanto, estas não ocorrem em todas as pessoas.";Você não deve tomar Artren se:;Artren tem ação analgésica e anti-inflamatória, que se manifesta uma hora após a ingestão da cápsula, permanecendo por tempo prolongado.;Tenha cuidado ao fazer uso de Artren caso você:;Se você ingerir acidentalmente mais cápsulas de Artren do que deveria, pode ocorrer vômito, sangramento do estômago e intestino, diarreia, tontura, zumbido ou convulsões.;Você deve conservar Artren em temperatura ambiente (entre 15°C e 30°C), protegido da umidade.;
Artrodar;A diacereína  é indicada no tratamento sintomático da osteoartrose (artrose  e  afecções articulares do tipo degenerativo).;Adultos: usar 50 a 100 mg ao dia de  Artrodar,  durante as refeições. Recomenda-se que uma  cápsula  de Artrodarseja ingerida, diariamente,  nas primeiras 2 semanas de uso, seguidas por 2  cápsulas diárias,  em período não inferior  a  06 (seis)  meses. Segundo critério médico, o tratamento poderá estender-se por  ciclos  mais longos. A  ação  antiálgica  de Artrodar + manifesta-se  de  2  a  4 semanas  do início  do  tratamento,  tornando-se necessário neste período,  o emprego de drogas analgésicas e antiinflamatórias.;Ocasionalmente, podem ocorrer diarréia e dores abdominais em pacientes sensíveis aos derivados antraquinônicos. Esses sintomas decrescem, ao reduzir-se a dose diária da droga.;O produto não pode ser utilizado em pacientes com história de hipersensibilidade à reína, seus correlatos  e  a  qualquer dos componentes da fórmula.;;"Dada a natureza antraquinônica da diacereína, Artrodar não poderá  ser ingerido simultaneamente com  laxantes; nos casos extremos, a administração deverá ser efetuada com máxima prudência, sob controle médico direto. O fármaco pode produzir uma coloração amarelo-intenso na urina, porém, sem significado clínico.";;;
Artrolive;Artrolive é indicado para osteoartrite, osteoartrose ou artrose em todas as suas manifestações.;A dose recomendada é de 1 cápsula por via oral, 3 vezes ao dia.;Geralmente, este medicamento é bem tolerado.;O Artrolive não deve ser usado em pessoas que tenham hipersensibilidade a qualquer um dos componentes da fórmula.;O Artrolive é um medicamento cuja ação principal se faz sobre a cartilagem que reveste as articulações.;Deve-se evitar a ingestão de bebidas alcoólicas durante o tratamento com Artrolive.;Em caso de superdosagem deve-se ir imediatamente ao médico.;;
Artrosil;Artrosil é indicado no tratamento da artrose, coxartrose, espondiloartrose, artrite reumatoide, bursite, flebite, tromboflebite, contusão, entorse, luxação ou distensão muscular, em adultos.;Artrosil 160 mg;Alguns dos efeitos colaterais de Artrosil podem incluir dor no estômago, náusea, vômito, diarreia, gases, sangramentos do estômago ou intestinos, fraqueza generalizada, sensação de tontura, feridas e vermelhidão na pele.;Artrosil está contraindicado para crianças, mulheres grávidas, pacientes com úlcera ativa no estômago ou duodeno, historial de úlcera no estômago ou duodeno, dificuldade de digestão crônica, inflamação do estômago, mau funcionamento dos rins, diminuição dos glóbulos brancos do sangue, diminuição das plaquetas no sangue, distúrbio de coagulação, pacientes com historial de asma, rinite ou alergia na pele causadas por ácido acetilsalicílico ou outros medicamentos anti-inflamatórios não esteroides e para pacientes com alergia ao Lisinato de Cetoprofeno ou a outros componentes da fórmula.;Artrosil é um medicamento que tem na sua composição Lisinato de Cetoprofeno, um composto que age contra a dor, inflamação e a febre, pois possui atividade anti-inflamatória, analgésica e antipirética. Artrosil é um medicamento que exerce esta atividade principalmente nas articulações, músculos e tecidos moles do corpo.;Antes de usar Artrosil​, deverá falar com o seu médico se estiver grávida ou amamentando, tiver asma brônquica ou tendência para ter alergias, mau funcionamento dos rins ou se estiver a tomar outros medicamentos, incluindo medicamentos sem receita médica.;Em caso de toma excessiva de Artrosil​, deve dirigir-se ao hospital mais próximo, levando a embalagem ou bula do medicamento.;;
Asalit supositório;O Asalit é utilizado no tratamento das doenças inflamatórias intestinais.;Na fase aguda, recomendam-se 2 a 4 supositórios de 250 mg ao dia.;Os efeitos colaterais mais comuns que podem ocorrer com o uso deste medicamento são dor de cabeça, reações da pele e diarreia.;Este remédio não deve ser utilizado por pessoas com hipersensibilidade à mesalazina, aos salicilatos ou a qualquer um dos componentes da fórmula.;O Asalit é um medicamento que contém como princípio ativo a mesalazina, que atua nas doenças inflamatórias do intestino, acelerando a cicatrização dos processos inflamatórios e reduzindo o número de recidivas.;A utilização de Asalit requer cautela em pessoas com insuficiência renal e hepática, doenças cardíacas e idosos.;Se acidentalmente ocorrer sobredosagem, deve-se contactar o médico imediatamente.;;
Asmapen comprimidos;Indicado para tratamento de asma brônquica, bronquite crônica e enfisema. Asmapen também é indicado para o tratamento da respiração de Cheyne-Stokes, em adultos e crianças com mais de 6 meses de idade.;Tomar 1 a 2 comprimidos de 100 mg ou 1 comprimido de 200 mg, 2 a 3 vezes por dia, após as refeições.;Os efeitos colaterais podem ser dor de cabeça, excitação, aumento do batimento cardíaco ou dificuldade em adormecer.;Não deve ser usado em crianças com menos de 6 meses de idade, mulheres grávidas ou que estejam a amamentar, pacientes com gastrite ativa, úlcera péptica ativa ou alergia à aminofilina, à teofilina ou a outros componentes da fórmula.;Asmapen tem na sua composição Aminofilina, um composto formado por teofilina e etilenodiamina, com ação broncodilatadora. Assim, atua na musculatura dos brônquios, dilatando e permitindo que o ar entre e saia mais facilmente.;O uso deste remédio deve ser feito com precuação em pessoas com mais de 60 anos ou se estiver a tomar outros medicamentos.;Em caso de toma excessiva podem surgir alguns sintomas como alterações nos batimentos do coração, vermelhidão na pele, dificuldade em respirar, respiração acelerada, sangue na urina, aumento da frequência urinária, convulsões ou coma. Caso isto aconteça, deve-se consultar de imediato o médico.;;
Asmax;Asmax (Cetotifeno) está indicado na profilaxia da: asma brônquica, das bronquites, das rinites e das dermatites alérgicas.Asmax (Cetotifeno) não é eficaz para tratamento de crises asmáticas e processos alérgicos já estabelecidos.;Comprimidos:Adultos: 1 comprimido, 2 vezes ao dia.Em pacientes susceptíveis aos efeitos sedativos dos anti-histamínicos, a dose inicial deve ser menor e aumentando-se gradativamente até atingir a dose preconizada.Xarope:Crianças de 6 meses a 3 anos: 1/2 colher medida (2,5 ml), 2 vezes ao dia.Crianças acima de 3 anos: 1 colher medida (5 ml), 2 vezes ao dia.Adultos: 1 colher medida (5 ml), 2 vezes ao dia.Gotas (em solução oral):Crianças de 6 meses a 3 anos: 0,5 ml, 2 vezes ao dia.Crianças acima de 3 anos: 1 ml, 2 vezes ao dia.;Pode ocorrer sonolência no início do tratamento. Em alguns casos houveram queixas de boca seca e tontura, sintomas que desapareceram com a continuidade do tratamento, portanto, não deve-se descontinuar o tratamento por este motivo.Alguns pacientes apresentam um aumento do apetite e ao longo do tratamento apresentam ganho de peso.;Asmax (Cetotifeno) está contra-indicado em pacientes com história de sensibilidade ao Cetotifeno ou a qualquer outro componente da fórmula.;;Deve-se evitar o uso na lactação e gravidez. No início do tratamento, os efeitos anti-histamínicos de Asmax (Cetotifeno) pode proporcionar uma ligeira diminuição dos reflexos e certa sonolência, devendo-se evitar atividades que exijam atenção como dirigir, operar máquinas, etc. Caso o paciente esteja tomando algum medicamento, especificamente corticosteróides, o médico assistente deve ser comunicado para que tome as medidas necessárias na redução da dose do mesmo, uma vez que estas substâncias não devem ser suspensas abruptamente. Pacientes diabéticos que estejam sendo medicados com anti-diabéticos orais também devem comunicar ao médico para que este faça um controle sangüíneo do paciente.;Nos casos de acidentes por ingestão de doses excessivas, a primeira medida a ser tomada é de esvaziamento gástrico desde que não tenha decorrido muito tempo da ingestão acidental. Medidas provocadoras de vômitos, como: ingestão de salmoura morna ou clara de ovo, só devem ser utilizadas logo após a ingestão. Os sintomas de sonolência, depressão, convulsão e mesmo coma contraindicam as medidas provocadoras de vômitos após a absorção do Cetotifeno, pelo risco de aspiração, sendo recomendada a lavagem gástrica à nível hospitalar. Após a ingestão de dose excessiva o paciente começa a ficar sonolento, até chegar numa sedação profunda, fica confuso e desorientado, há queda da pressão arterial e aumento da freqüência cardíaca. Crianças numa fase inicial podem apresentar quadro de hiperexcitabilidade seguido de coma reversível. O tratamento é sintomático, sendo conveniente a monitorização do sistema cardiovascular.;;
Asmofen;Asmofen gotas ou xarope é indicado para prevenção da asma brônquica, bronquite alérgica, sintomas asmáticos associados à febre do feno e no tratamento e prevenção de desordens alérgicas como urticária, dermatite, rinite alérgica e conjuntivite, em adultos e crianças.;Adultos;Alguns dos efeitos colaterais de Asmofen incluem sonolência, tontura leve, boca seca, agitação, irritabilidade, nervosismo, aumento de peso ou inflamação da bexiga.;Asmofen está contraindicado para pacientes com alergia ao Fumarato de Cetotifeno ou a outros componentes da fórmula.;Asmofen é um medicamento que tem na sua composição fumarato de cetotifeno, um composto antiasmático capaz de inibir os efeitos de algumas substâncias inflamatórias ou alergênicas como histamina e leucotrienos.;Antes de usar Asmofen, deverá falar com o seu médico se estiver grávida ou amamentando, pretender administrar o medicamento em crianças, tiver diabetes, epilepsia ou se estiver a tomar outros medicamentos, incluindo medicamentos sem receita médica.;Em caso de toma excessiva de Asmofen​, deve dirigir-se ao hospital mais próximo, levando a embalagem ou bula do medicamento. Alguns dos efeitos mais comuns que pode sentir após a toma excessiva de Asmofen podem ser sonolência, sedação, confusão, desorientação, alteração dos batimentos cardíacos e pressão baixa.;;
Aspirina;Indicado para aliviar vários tipos de dor, como dor de cabeça, dor de dente, dor de garganta, dor menstrual, dor muscular, dor nas articulações, dor nas costas ou dor da artrite.;A dosagem e duração do tratamento devem ser sempre indicados pelo médico, sendo normalmente:;Os efeitos colaterais são dor de estômago, náuseas, vômitos ou diarreia, sangramentos, aumento da acidez no estômago, zumbido no ouvido, tontura ou reações de alergia na pele, como vermelhidão, coceira e inchaço na pele.;É contraindicada em crianças com menos de 12 anos, mulheres grávidas que se encontrem no último trimestre de gravidez, pacientes com historial de crise de asma, úlceras no estômago ou intestino, problemas de coagulação sanguínea ou pacientes com tendência para sangramentos ou que formam hematomas com facilidade.;Aspirina tem na sua composição Ácido Acetilsalicílico, um composto com propriedades antitérmicas, analgésicas e anti-inflamatórias, capaz de proporcionar o alivio da febre, dor e inflamação. O ácido acetilsalicílico é um composto que inibe a formação excessiva de substâncias mensageiras da dor, as prostaglandinas, reduzindo desta forma a susceptibilidade à dor, sendo utilizado para o alivio dos sintomas causados por diversas doenças, como artrite, gripes ou resfriados.;Existe o risco de sofrer uma crise de asma durante o tratamento, especialmente em pessoas que sofrem de asma, de rinite alérgica, de pólipos nasais ou de doenças crônicas do trato respiratório, principalmente se acompanhadas de sintomas de rinite alérgica sazonal, ou pacientes que sejam alérgicos a qualquer tipo de analgésico, antiinflamatório ou antireumático.;Em caso de toma excessiva deste medicamento, podem surgir sintomas como tonturas e zumbidos do ouvido, devendo-se consultar de imediato o médico.;;
Aspirina C;A Aspirina C efervescente é um analgésico (dores leves e moderadas) e antitérmico indicado para:;Aspirina C efervescente não deve ser administrada por mais de 3 - 5 dias sem orientação médica.;Distúrbios do trato gastrintestinal superior e inferior como sinais e sintomas de dispepsia, dor gastrintestinal e abdominal, raramente inflamação gastrintestinal, úlcera gastrintestinal, levando potencialmente, mas raramente hemorragia e perfuração de úlcera gastrintestinal, com respectivos sinais e sintomas clínicos e laboratoriais.;O ácido acetilsalicílico não deve ser usado nos seguintes casos:;Após administração oral, o ácido acetilsalicílico é absorvido rápida e completamente no sistema gastrintestinal.;O ácido acetilsalicílico deve ser utilizado com maior precaução nos seguintes casos:;Quando administrado em doses superiores às recomendadas, pode provocar tontura e zumbido.;Conservar em temperatura ambiente (15º a 30ºC).;
Atenol;"Controle da hipertensão arterial; controle da angina pectoris; controle de arritmias cardíacas; tratamento do infarto do miocárdio.";Adultos: Hipertensão: A maioria dos pacientes responde a uma dose única oral diária de 100 mg. O efeito pleno será alcançado após uma ou duas semanas. Pode-se conseguir uma redução adicional na pressão arterial combinando-se Atenol com outros agentes anti-hipertensivos.;Em estudos clínicos, os efeitos colaterais relatados foram normalmente atribuíveis às ações farmacológicas de Atenol e incluem frio nas extremidades, fadiga, distúrbios gastrintestinais e, em casos isolados, bradicardia.;Atenol não deve ser utilizado na presença de bloqueio cardíaco de segundo ou terceiro grau. Atenol não deve ser administrado a pacientes com choque cardiogênico.;;;Bradicardia excessiva pode ser controlada com 1-2 mg de atropina por via intravenosa. Se necessário, a isto pode se seguir a administração de uma dose em bolus de 10 mg de glucagon por via intravenosa. Se necessário, esse procedimento pode ser repetido ou seguido de uma infusão intravenosa de 1-10 mg/hora de glucagon, dependendo da resposta obtida.;;
Atens;O Atens é usado no tratamento de todos os graus de hipertensão essencial e na hipertensão renovascular.;A dose diária varia entre 10 a 40 mg para todas as indicações. No entanto, é aconselhável iniciar com 10 mg/dia e adaptar a dose à resposta da pessoa.;Os efeitos adversos mais comuns são tonturas, dor de cabeça e cansaço.;O Atens é contraindicado em pessoas com alergia a qualquer componente do medicamento e nos pacientes com história de edema angioneurótico relacionado a tratamento prévio com inibidores de enzima conversora de angiotensina.;;;;;
Atens;Tratamento de todos os graus de hipertensão essencial e na hipertensão renovascular. É indicado também na insuficiência cardíaca congestiva.;Recomenda-se 1 comprimido ao dia. Se necessário, 2 comprimidos em uma única tomada.;;;;;;;
Atensina comprimidos;Atensina é indicada para o controle da pressão alta, em adultos.;A dose recomendada de Atensina e a duração do tratamento devem ser indicadas pelo seu médico, pois dependem depende do grau de pressão alta e da resposta individual de cada paciente ao tratamento.;Alguns dos efeitos colaterais de Atensina podem incluir tontura, aumento do sono, queda da pressão ao levantar, boca seca, depressão, alteração do sono, dor de cabeça, prisão de ventre, náusea, dor nas glândulas salivares, vômito, dificuldades para obter ereção, fadiga ou diminuição da produção de lágrima.;Atensina está contraindicada para pacientes com intolerância à galactose, pacientes em que o coração bata mais lentamente que o normal e para pacientes com alergia ao Cloridrato de Clonidina ou a outros componentes da fórmula.;Atensina tem na sua composição Clonidina, um composto que atua sobre o sistema nervoso central, no cérebro, sendo responsável por aumentar a largura dos vasos sanguíneos, diminuindo assim a pressão arterial.;Antes de usar Atensina, deverá falar com o seu médico se estiver grávida ou amamentando, tiver problemas da circulação, depressão, doença nos nervos, prisão de ventre, feocromocitoma ou problema nos vasos do coração, tiver mau funcionamento dos rins ou do coração ou se estiver a tomar outros medicamentos, incluindo medicamentos sem receita médica.;Em caso de toma excessiva de Atensina​, deve dirigir-se ao hospital mais próximo, levando a embalagem ou bula do medicamento. Alguns dos efeitos mais comuns que pode sentir após a toma excessiva de Atensina podem incluir diminuição da pupila dos olhos, pensamento lento, batimento lento do coração, queda da pressão, queda da temperatura do corpo, sonolência, respiração lenta ou aumento da pressão.;;
Atlansil;Injetável: Distúrbios do ritmo auricular com ritmo ventricular rápido fazendo suspeitar de via de condução auriculoventricular acessória, taquicardia do tipo Wolff-Parkinson-White, distúrbios do ritmo ventricular. Comprimidos: Alterações do ritmo auricular, juncional, ventricular, alterações do ritmo no Wolff-Parkinson-White.;"Comprimidos: Tratamento de ataque: 1 comprimido 3 vezes ao dia durante 8 a 10 dias. Tratamento de manutenção: 1 a 2 comprimidos diários. Pode-se adotar o esquema de ""janela terapêutica"", usando o medicamento durante 5 dias com intervalo de 2 dias sem medicação. Injetável: Ataque: 5 mg/kg em 250 ml de soro glicosado, administrados em 20 minutos a 2 horas, repetindo 2 a 3 vezes nas 24 horas. Manutenção: 10 a 20 mg/kg/dia (média 600 a 800 mg/24 h, até 1,2 g/24 h) em 250 ml de soro glicosado durante alguns dias. A duração da injeção não deve ser inferior a 3 minutos. Não misturar outro produto na seringa.";"Microdepósitos corneanos, fototoxicidade cutânea, pigmentação grisácea cutânea (todos reversíveis); sinais de hiper ou hipotireoidismo; pneumopatia intersticial difusa; neuropatia periférica (rara), elevação das transaminases; hepatopatia aguda (rara); hipotensão e flebite (forma injetável).";"Contra-indicado em caso da hipersensibilidade ao iodo, bradicardia sinusal, bloqueio sinoauricular, bloqueio aurículoventricular; disfunção tireóidea, gravidez (risco tireóideo fetal), lactação, hipotensão severa. Interage com outros antiarrítmicos, betabloqueadores, alguns antagonistas do cálcio, laxativos estimulantes drogas hipocalemiantes, anticoagulantes orais, digitálicos, fenitoína.";;;Se a ingestão é recente, a indução do vômito e a lavagem gástrica podem ser úteis. A bradicardia pode ser controlada com agonista beta-adrenérgico ou marcapasso e a  hipotensão pode responder a agentes inotrópicos positivos e (ou) vasopressores. A amiodarona não é dialisável.;;
Atrovent;Atrovent está indicado para o tratamento do broncoespasmo em casos de doença pulmonar obstrutiva crônica, como bronquite, enfisema ou asma, em adultos e crianças com mais de 6 anos.;A dose recomendada e a duração do tratamento de Atrovent devem ser indicadas pelo seu médico, pois estas vão depender da gravidade do problema a tratar e da resposta individual de cada paciente ao tratamento.;Alguns dos efeitos colaterais de Atrovent podem incluir dor de cabeça, tontura, irritação na garganta, tosse, secura na boca, náusea ou problemas gastrointestinais.;Atrovent está contraindicado para pacientes com alergia à Atropina ou a algum dos componentes da fórmula.;;Antes de usar Atrovent, deverá falar com o seu médico se estiver grávida ou amamentando, tiver glaucoma de ângulo fechado, obstrução do colo da bexiga ou hiperplasia da próstata, fibrose cística ou se estiver a tomar outros medicamentos, incluindo medicamentos sem receita médica.;Em caso de toma excessiva de Atrovent, deve dirigir-se ao hospital mais próximo, levando a embalagem ou bula do medicamento.;;
Atroveran Composto;O Atroveran Composto é um analgésico indicado para aliviar as cólicas menstruais e a dor associada a espasmos no intestino, bexiga ou vesícula.;Dependendo da forma farmacêutica, este medicamento deve-se tomar da seguinte forma:;Os efeitos colaterais que podem ocorrer com o uso deste medicamento são náuseas, aumento do batimento cardíaco, alterações no exame de sangue ou problemas de rins como sangue na urina ou dificuldade em urinar.;Este remédio não deve ser usado em grávidas ou durante amamentação, crianças com menos de 12 anos de idade ou pessoas com alergia a qualquer componente da fórmula.;O Atroveran composto contém em sua fórmula papaverina, eficiente antiespasmódico que age diretamente nas causas da cólica, proporcionando alívio imediato, além de conter também componentes analgésicos e estimulantes de funções digestivas:;Em caso de problemas de próstata, glaucoma de ângulo agudo ou em casos de amigdalite deve-se informar o médico que avaliará a utilização do medicamento, uma vez que o seu uso pode levar ao aparecimento de efeitos colaterais graves.;No caso de ingestão superior à indicada, deve-se ir ao hospital imediatamente para ser avaliado por um médico.;;
Aturgyl;O Aturgyl solução nasal está indicado para o alívio sintomático da congestão nasal e nasofaríngea decorrentes do resfriado comum, sinusite, febre ou outras alergias das vias aéreas superiores.;Para adultos e crianças com idade acima de 6 anos, a dose recomendada de Aturgyl é de 2 ou 3 nebulizações em cada narina, de 12 em 12 horas. Com a cabeça elevada, coloque a ponta do frasco em cada narina sem fechá-la completamente. Durante cada administração, o paciente deve inclinar a cabeça suavemente para trás e inspirar ativamente enquanto comprime o frasco.;Alguns dos efeitos colaterais que podem ocorrer com o uso de Aturgyl são queimação, ardência, espirros e aumento da secreção nasal.;Este medicamento é contraindicado para uso por pessoas com hipersensibilidade a qualquer um dos componentes da formulação, doença cardíaca, hipertensão, doenças da tireoide, diabetes ou dificuldade em urinar, devido a aumento do tamanho da próstata, a menos que indicado pelo médico.;O Aturgyl contém oximetazolina que faz com que os vasos que estão dilatados no interior do nariz, causando congestão, se contraiam e produzam um efeito descongestionante prolongado.;Não exceder a posologia recomendada e não usar por mais de três dias, pois pode causar congestão recorrente. O uso frequente ou prolongado pode causar congestão recorrente ou piora.;;;
Aubagio comprimidos;O Aubagio é um remédio que está indicado para o tratamento de pessoas com as formas recorrentes de esclerose múltipla, para reduzir a frequência dos surtos e para retardar o acúmulo de incapacidade física.;A dose recomendada deste medicamento é de 14 mg, uma vez ao dia, administrada pela via ora, com ou sem alimentos.;Os efeitos adversos mais comuns que podem ocorrer com o uso deste medicamento são diarreia, náusea, diminuição da quantidade de fios de cabelo e aumento de alanina aminotransferase.;Este medicamento está contraindicado em pessoas com insuficiência hepática grave, hipersensibilidade à teriflunomida, leflunomida ou a qualquer um dos componentes da formulação, mulheres grávidas ou com potencial de engravidar e que não estejam utilizando métodos contraceptivos confiáveis, durante o tratamento com teriflunomida.;O Aubagio ajuda a proteger o sistema nervoso central dos ataques do sistema imune, limitando o aumento de algumas células brancas do sangue.;Foi observado um aumento dos níveis de enzimas do fígado em pessoas recebendo teriflunomida.;;;
