;Nome;Pergunta;Resposta;Resposta_predita
161;Imescard;Quais são os processos biológicos desencadeados por Imescard?;Imescard pomada; Imescard é um medicamento que apresenta ação anti-inflamatória e antialérgica, por isso, é utilizado no tratamento de inflamações e alergias que provocam dor e inchaço, como por exemplo: inflamações nos olhos e nos ouvidos, rinite alérgica, sinusite, inflamação glandular e outras.  Nos processos inflamatórios, Imescard atua diminuindo a resposta de tecidos inflamados e alérgicos, os sintomas dolorosos e inchaços, assim como a dor e a vermelhidão.   Imescard é contra-indicado em pacientes com hipersensibilidade a qualquer componente da fórmula.  Veja outros remédios usados para tratar a sinusite.   Para adultos e crianças maiores de 12 anos, a dose recomendada é de 2 comprimidos, 3 vezes ao dia, com um intervalo de 8 horas entre 2 comprimidos.  Para reduzir a dor de cabeça
50;Ceftriax;Qual é o propósito principal de Ceftriax na área da saúde?;Usado para tratar infecções causadas por bactérias sensíveis à ceftriaxona, como gonorreia, infecção articular ou infecção da pele.;"
    Question: Qual é o propósito principal de Ceftriax na área da saúde?[/INST]
    Answer: O Ceftriax é um medicamento antibiótico que está indicado para o tratamento de infecções causadas por bactérias sensíveis à cefixima.  Este medicamento é utilizado para o tratamento de infecções da cabeça e dos séculos, como sinusite, otite média, infecção do trato respiratório superior e infecções do trato respiratório inferior como bronquite, pneumonia e infecções urinárias.   A posologia depende do local da infecção e da forma farmacêutica que se pretende usar.  Pacientes com infecções da região do trato respiratório superior:  A dose usual é de 250 mg a cada 6 horas para infecções leves a moderadas e 500 mg a cada 6 horas para tratamento de infecções mais sérias.  Para pacientes com infecções da"
519;Profenid Bula;Qual é o propósito principal de Profenid Bula na área da saúde?;O Profenid é um medicamento antiinflamatório, analgésico e antitérmico, sendo indicado no tratamento de inflamações e dores decorrentes de processos reumáticos, traumatismos e de dores em geral.;"
    Question: Qual é o propósito principal de Profenid Bula na área da saúde?[/INST]
    Answer: Profenid Bula é indicado para o tratamento de processos dolorosos e inflamatórios, como por exemplo: dores de dentes, dor de cabeça, enxaqueca, dor e inflamação do pós-operatório, traumas, dores musculares e lombares, cólicas menstruais, dor na região pélvica e abdominal, dor e inflamação da coluna vertebral, reumatismo, lesões com origem inflamatória, infecções do ouvido, nariz e garganta, dor e inflamação das articulações e do corpo, dor e inflamação das costas, contusões, entorses, distensões, luxações, lesões esporádicas e massajismo. Além disso, Profenid Bula também é indicado como analgésico e anti-inflamatório em processos de doenças agudas e crônicas, como"
687;Slow K;Como funciona Slow K?;Este medicamento consite por uma fórmula de liberação lenta e sustentada de cloreto de potássio (KCl). Desta forma, o Slow K, permite a liberação de KCl para o organismo, em quantidades adequadas durante todo o dia.; Slow K é uma pílula anticoncepcional que tem na sua composição levonorgestrel.  A pílula anticoncepcional deve ser tomada todos os dias aproximadamente no mesmo horário, independentemente das refeições. Recomenda-se iniciar o tratamento no primeiro dia da menstruação, ou seja, tomar a pílula anticoncepcional no dia seguinte ao término da menstruação e não iniciar entre os dias 2º e 5º da menstruação.  A pílula anticoncepcional é um método contraceptivo que só funciona quando é tomada todos os dias. Portanto, deve-se iniciar o uso de Slow K assim que ocorrer a primeira relação sexual ou quando houver uma suspeita de gravidez.  Como usar Slow K pela primeira vez:  Quando se iniciar o uso de Slow K, deve-se tomar o comprimido indicado na cartela com o dia da semana que corresponde ao primeiro dia de sangramento. Por exemplo, se a menstru
255;Epipen;Qual é o propósito principal de Epipen na área da saúde?;Epipen Jr 0,15 mg ou Epipen 0,3 mg é indicado para o tratamento de emergência de reações alérgicas agudas, em adultos e crianças.;"
    Question: Qual é o propósito principal de Epipen na área da saúde?[/INST]
    Answer: Epipen é um medicamento de emergência para o tratamento de reações alérgicas agudas.  Não deve ser usado para outras doenças alérgicas ou para o tratamento de anafilaxia.  Este medicamento pode ser utilizado por adultos e crianças.  Para prevenir epinefrina de causar panicência e aumentar sua eficácia como tratamento de emergência, seu conteúdo deve ser utilizado somente sob supervisão médica.  Uso Epinefrina para Adultos e Crianças (incluindo mulheres em amamentação)  Epipen deve ser utilizado imediatamente quando estiver disponível e under observacao médica.  Para prevenir reações graves devido a uma superdose de epinefrina, não se deve administrar mais do medicamento uma segunda vez após uma dose inicial bem sucedida.  Epinefrina deve ser administrada somente sob super"
521;Azimix comprimidos;Como Azimix comprimidos atua no organismo para produzir seus efeitos?;O Azimix contém azitromicina que é uma substância capaz de se ligar às bactérias que estão causando infecção e impedir a formação de proteínas. Desta forma, a bactéria deixa de ter as proteínas necessárias para se multiplicar, acabando por morrer e desaparecer.;"
    Question: Como Azimix comprimidos atua no organismo para produzir seus efeitos?[/INST]
    Answer: Azimix comprimidos é um medicamento que contém azitromicina, um antibiótico que atua no organismo impedindo que as bactérias produzam proteínas, que são a base do seu crescimento e reprodução, impedindo-as de se multiplicarem. Estes antibióticos são eficazes contra uma vasta gama de bactérias, incluindo as mais resistentes.   Azimix comprimidos deve ser engolido inteiro, com água, sem partir ou mastigar.  A dose recomendada é de 1 comprimido, em uma única tomada, diariamente, durante 3 dias, sempre à mesma hora, aproximadamente.  Se o médico indicar uma dose diferente, deve-se seguir a sua orientação.   Alguns dos efeitos colaterais de Azimix comprimidos podem incluir diarreia, má digestão, ná"
154;Tamiram;Quais são os processos biológicos desencadeados por Tamiram?;O levofloxacino é rápida e quase completamente absorvido após a administração oral.; Tamiram é indicado para o tratamento de problemas na circulação sanguínea, como a tontura, sofrimento de cabeça e sensação de cansaço, em adultos.  Além disso, Tamiram também é indicado para o tratamento de crises de angina, crises de enfarto e para o tratamento de problemas do coração, em adultos.  Veja outros remédios usados para o tratamento da tontura.   Geralmente, a dose recomendada de Tamiram é de 1 comprimido, 2 vezes por dia, de acordo com indicação médica.  Os comprimidos de Tamiram devem ser engolidos inteiros, juntamente com um copo de água, sem partir ou mastigar.  A dose recomendada e a duração do tratamento com Tamiram devem ser indicadas pelo seu médico, pois estas dependem da gravidade do problema a tratar e da resposta individual de cada paciente ao tratamento.   Alguns dos efeitos colaterais de Tamiram podem inclu
375;Lidogel;Qual é o propósito principal de Lidogel na área da saúde?;É um lubrificante com ação anestésica que pode ser usado na uretra durante a realização de exames ou tratamento de infecções que causem dor na uretra, como infeção da bexiga ou uretra.;"
    Question: Qual é o propósito principal de Lidogel na área da saúde?[/INST]
    Answer: Lidogel é indicado para o tratamento de doenças e problemas na pele como eczema, dermatite atópica, líquen simples crônico e plano, dermatite eczematosa, intertrigo, disidrose e dermatites seborreica, esfoliativa, solar e de estase e para o tratamento de pruridos anogenital e senil. Além disso, Lidogel também é indicado para a prevenção e tratamento de infecções cutâneas como tuberculose cutânea, sífilis cutânea, dermatite infecciosa e ataque de Lyme.   Lidogel está contraindicado para pacientes com alergia ao dipropionato de betametasona, ao sulfato de gentamicina ou a algum dos componentes da fórmula.   Geralmente, a dose recomendada e de 0,5 a 1 g"
218;Glipizida;Em que circunstâncias eu não deveria utilizar Glipizida?;Hipersensibilidade às sulfoniluréias, diabetes juvenil, insuficiência renal e hepática grave, gravidez, lactação, acidose significante, cetoacidose, cetose significante, grande cirurgia, coma diabético, infecção grave, queimaduras graves, trauma grave e pacientes geriátricos.;"
    Question: Quais são as contraindicações para Glipizida?[/INST]
    Answer: Como ocorre com outros hipoglicemiantes, a administração de Glipizida é contraindicada em pessoas com:Diabetes mellitus não controlada, insuficiência renal, hepática ou cardíaca grave, doenças inflamatórias agudas, Infecções graves, Estados comatosos ou de acordo com orientação médica.Glipizida não deve ser administrado a crianças, com menos de 18 anos de idade.  Glipizida é contraindicado em pacientes com alergia à Glicemida ou a outros componentes da fórmula. Também não deve ser usado em casos de hipoglicemia.  Como outros hipoglicemiantes, a administração de Glipizida é contraindicada em pessoas com:Diabetes mellitus não controlada, insuficiência renal, hepática ou cardíaca grave, doenças inflamatórias agudas,"
187;Nevralgex;De que maneira Nevralgex deve ser administrado?;Adultos: 1 a 2 comprimidos de 3 a 4 vezes ao dia. Não ultrapassar estes limites. Superdosagem: em caso de superdosagem aguda de Nevralgex, a absorção do medicamento deve ser reduzida por indução de êmese, lavagem gástrica, administração de carvão ativado ou pela combinação das três medidas. Deve-se manter o paciente hidratado, sob rigoroso controle do equilíbrio acidobásico e monitorização das condições respiratórias, cardíacas e neurológicas. Fisostigmina, na dose de 0,5 a 2 mg por via subcutânea, endovenosa ou intramuscular, repetida a cada 1 ou 2 horas, é o antídoto dos efeitos anticolinérgicos da orfenadrina, quando estes forem muito intensos. Sua utilização deve ser ponderada, pois ela pode produzir vários efeitos cardíacos e respiratórios. Em caso de superdosagem não complicada é mais seguro aguardar a remissão espontânea da toxicidade do anticolinérgico. A orfenadrina é uma droga potencialmente tóxica e há relatos de mortes associadas à superdosagem (ingestão de 2 a 3 g de uma só vez). Efeitos tóxicos, tipicamente anticolinérgicos, podem ocorrer rapidamente em 2 horas, em intoxicação aguda, com convulsões, arritmias cardíacas e morte. A dipirona como antiinflamatório não hormonal, em doses tóxicas pode também produzir sintomas centrais excitatórios, além de alterações do equilíbrio acidobásico, náuseas, vômitos e fenômenos hemorrágicos. A cafeína tem ação estimulante central, podendo acentuar os sintomas excitatórios das duas drogas anteriores. Pacientes idosos: não há informações relacionando a idade com os efeitos do uso do produto em pacientes idosos. Entretanto pacientes idosos são suscetíveis a apresentar um certo grau de confusão mental como reação adversa ocasional.;"
    Question: Quais são as instruções para o uso correto de Nevralgex?[/INST]
    Answer: Nevralgex é um medicamento que apenas deve ser administrado de acordo com indicação médica, pois as doses recomendadas dependem do problema a tratar. Porém, geralmente a dose recomendada é de 1 comprimido de 400 mg por dia, administrado 1 a 3 vezes por dia, de acordo com indicação médica. Nevralgex deve ser tomado após as refeições, para evitar náuseas e vômitos, juntamente com um copo de água.   Nevralgex está contraindicado para mulheres grávidas ou amamentando, crianças e adolescentes com menos de 18 anos, pacientes com historial de alergias, especialmente a aspirina, historial de úlcera no estômago ou intestino, problemas de coagulação, de hemorragia ou de alergia a analgésicos, pacientes com sus"
493;Serofene;Quais são as orientações específicas para utilizar Serofene?;O tratamento com Serofene deve ser feito através de ciclos de tratamento de 5 dias, sendo necessário passar para o 2º ou 3 º ciclo apenas se o primeiro não surtir efeito.;"
    Question: Quais são as orientações específicas para utilizar Serofene?[/INST]
    Answer: A dose recomendada de Serofene é de 1 comprimido de 50 mg por dia, para dose única, e o tratamento deve durar 5 dias consecutivos. Este medicamento deve ser tomado exatamente como instruído, e a dose não deve ser aumentada ou repetida.  Para aumento das chances de gravidez, deve-se tomar Serofene por 5 dias consecutivos, sem interrupção, logo após os comprimidos do ciclo menstrual. A interrupção do tratamento, não causará o aumento dos gonadotrofinas, mas poderá causar a diminuição da produção de eggs. Não se deve interromper o tratamento sem o conhecimento do médico. Cuidados devem ser tomados para que os comprimidos sejam ingeridos exatamente como instruído.  Como usar Serofene pela primeira vez:  Para dose inicial: 1 comprimido de"
414;Renapril;De que maneira Renapril deve ser administrado?;"Como a absorção do Renapril não é afetada pela ingestão de alimentos, os comprimidos podem ser administrados antes, durante ou após as refeições. A dose inicial no tratamento da hipertensão essencial é de 10 a 20mg, dependendo do grau de hipertensão, e pode ser dada uma vez ao dia. Em hipertensão leve, a dose inicial recomendada é de 10 mg por dia. A posologia de manutenção usual é de 20mg tomados uma vez ao dia. A posologia deve ser ajustada de acordo com as necessidades do paciente, até o máximo de 40mg por dia.Hipertensão renovascular: como a pressão arterial e a função renal nesses pacientes podem ser particularmente sensíveis à inibição da ECA, o tratamento deve ser iniciado com uma dose inicial menor (com 5 mg ou menos). A posologia então deve ser ajustada de acordo com as necessidades do paciente. É presumível que a maioria dos casos responda a um comprimido de 20mg ao dia.Terapia diurética concomitante em hipertensão: pode ocorrer hipotensão sintomática em seguida a dose inicial de Renapril, isto ocorre mais em pacientes que vêm sendo tratados com diuréticos. Recomenda-se cautela, portanto, com estes pacientes, pois eles podem estar depletados de sal ou volume. A terapia diurética deve ser descontinuada por 2 a 3 dias antes do início do tratamento com o Renapril. Se isto não for possível, a dose inicial do Renapril deve ser baixa (5mg ou menos) para determinar o efeito inicial sobre a pressão arterial. A posologia então deve ser ajustada às necessidades do paciente.Insuficiência renal: geralmente, o intervalo entre as doses do Renapril deve ser prolongado e/ou a posologia diminuída.*Veja precauções - Pacientes sob a emodiálise;** O enalaprilato é dialisável. Nos dias em que o paciente não for submetido à diálise, a posologia deve ser ajustada à resposta da pressão normal.Insuficiência cardíaca / Disfusão ventricular esquerda assintomática: a dose inicial de Renapril em pacientes com insuficiência cardíaca sintomática ou disfunção ventricular esquerda assintomática é de 2,5mg e deve ser administrada sob rígida supervisão médica, para se determinar o efeito inicial sobre a pressão arterial. Na ausência de, ou após tratamento efetivo da hipotensão sintomática consequente ao início da terapia da insuficiência cardíaca com Renapril,a dose deve ser aumentada gradualmente até a dose de manutenção habitual de 20mg, dada em tomada única diária ou em duas doses divididas, conforme a tolerabilidade do paciente. Essa titulação da dose pode ser realizada em um período de 2 a 4 semanas, ou menos, se indicando pela presença de sinais ou sintomas residuais de insuficiência cardíaca. Em pacientes com insuficiência cardíaca sintomática, essa posologia foi eficaz para reduzir a mortalidade.A pressão arterial e a função renal devem ser monitorizadas cuidadosamente tanto antes como depois de iniciar o tratamento com Renapril (veja PRECAUÇOES), pois foram relatadas hipotensão e (mais raramente) insuficiência renal consequente. Em pacientes tratados com diuréticos, a dose deveria ser reduzida, se possível, antes de iniciar o tratamento com Renapril. O aparecimento de hipotensão após a dose inicial de Renapril não implica que ela ocorrerá durante a terapia crônica e não contra-indica o uso continuado de Renapril. O potássio sérico também deve ser monitorizado.";"
    Question: Quais são as instruções para o uso correto de Renapril?[/INST]
    Answer: A dose recomendada de Renapril pode variar entre 10 e 40 mg por dia, de acordo com indicação médica.  Os comprimidos de Renapril devem ser engolidos inteiros, sem partir ou mastigar, juntamente com um copo de água.  Quanto à posologia, siga a orientação do seu médico, pois as doses e a duração do tratamento vão depender de seu problema e da resposta individual de cada paciente ao tratamento.  Para o tratamento da hipertensão, a maioria dos pacientes é controlada com uma dose única oral diária de 10 a 20 mg. A dose máxima recomendada é de 40 mg por dia.  Para o tratamento da insuficiência cardíaca congestiva, a dose inicial recomendada é de 10 mg diários, podendo ser aumentada para 20 mg"
483;Sorine;De que maneira Sorine deve ser administrado?;Bastante flexível e ampla, já que mesmo irrigações generosas não alteram o movimento ciliar ou são capazes de produzir algum inconveniente. Em instilações, pode-se usar 2 a 4 gotas, 4 a 6 vezes ao dia.Instruções de uso:Aplique a solução nas narinas, conforme necessidade.1. O conta-gotas já está acoplado ao frasco. Abra o frasco, quebrando o lacre que encontra-se na tampa do conta-gotas através do giro da tampa no sentido antihorário.2. Não introduzir o conta-gotas nas narinas. Apertar o bulbo do conta-gotas para instilar o produto. Se eventualmente  ocorrer contato com a narina, não desapertar o bulbo para evitar que a secreção nasal seja aspirada . 3. Lavar e ferver o conta-gotas antes de fechar o frasco. Manter o frasco em uso sempre fechado, rosqueando completamente a tampa do conta-gotas (fig. 3). O contagotas funciona como tampa. Man te nha-o colocado no frasco após o uso. O frascodeve ser guardado no interior do cartucho.;"
    Question: Quais são as instruções para o uso correto de Sorine?[/INST]
    Answer: Para usar Sorine, deve-se: embolizar o paciente, retirar o cateter, colocar uma newtonite de 1,5 mm de espessura e segurar o frasco de sorine, sem esvaziar completamente, para futuras utilizações. quando o paciente estiver em posição vertical, retardar a retirada do cateter, observando como o líquido escorre para baixo. caso o paciente esteja sentado ou deitado com a cabeça para trás, observar como o líquido escorre para cima. para administrar, bater levemente na tampa do frasco. para suspender a medicação, bater levemente na tampa do frasco, observando como o líquido desaparece. sorine é de uso exclusivamente intravenoso. não é recomendada sua administração por infusão. quando o paciente estiver sentado ou deitado com a cabeça para trás,"
710;Reconter;Quais são as contraindicações para Reconter?;Não deve ser usado em mulheres grávidas ou que estejam a amamentar, problemas cardíacos ou pessoas com alergia a qualquer componente da fórmula. Não deve ser tomado sem que o médico verifique interações com outros medicamentos.;"
    Question: Quais são as contraindicações para Reconter?[/INST]
    Answer: Reconter está contraindicado em casos de alergia a qualquer componente da fórmula.  Reconter não deve ser utilizado por pessoas que estejam utilizando laxantes ou emolesantes, indivíduos com obstrução intestinal ou que tenham processos inflamatórios devido a doenças como doença de Crohn e colite ulcerativa. Este medicamento também não deve ser utilizado por mulheres grávidas sem orientação médica.  Reconter não deve ser utilizado durante a amamentação, exceto sob orientação médica. Informe ao seu médico se ocorrer gravidez ou se iniciar amamentação durante o uso deste medicamento.  Reconter deve ser administrado somente pela via oral e não deve ser administrado por boca de outros pessoas.  Em caso de superdosagem, deve-se ir imediatamente ao médico.   Cada comprimido de Reconter contém 40 m"
386;Posicor (Mibefradil);Para que serve Posicor (Mibefradil)?;O Posicor é indicado na hipertensão essencial e hipertensão renal, podendo ser usado sozinho ou em combinação com outros anti-hipertensivos.;"
Posicor (Mibefradil) é indicado para: - Reduzir a taxa de pressão arterial, para tratamento da hipertensão (pressão alta) - Tratamento da doença coronária, como angina do peito e infarto do miocárdio (heart attack) - Reduzir o risco de derrame (acidente vascular cerebral).  Uso adulto - Uso oral   Posicor (Mibefradil) é um medicamento que pertence a um grupo de medicamentos chamados inibidores da enzima conversora de angiotensina.  Posicor (Mibefradil) é capaz de promover a vasodilatação (dilatação dos vasos sanguíneos) e inibir a conversão da angiotensina I em angiotensina II.  A enzima conversora de angiotensina I está envolvida na formação de angiotensina II, que é responsável pela síntese de aldosterona que aumenta a retenção de sódio e posterior"
