;Nome;Pergunta;Resposta;Resposta_predita
438;Lystate;Quais são os processos biológicos desencadeados por Lystate?;O uso de Lystate não é recomendado durante a gravidez ou a amamentação.;" Lystate é um medicamento que atua como um potente estimulador do apetite, sendo utilizado como um suplemento alimentar.  Os processos biológicos desencadeados por Lystate são: 1. Incremento da produção de insulina;2. Diminuição da produção de glucagon;3. Aumento da absorção de glicose;4. Aumento da utilização de glicose pelo organismo;5. Redução da glicose no sangue;6. Aumento da produção de ácido úrico;7. Diminuição da produção de uréia;8. Aumento da excreção de potássio.  Como Lystate é um medicamento que atua no organismo de forma sistêmica, os processos biológicos que são desencadeados por este medicamento são de natureza sistêmica.  Como não existe nenhum estudo específico sobre os processos biológicos desencadeados por Lystate, a informação deste párrafo é baseada em estudos sobre a insulina.  A"
181;Secdazol;Quais são os potenciais efeitos indesejados de Secdazol?;Este medicamento não deve ser utilizado em casos de alergia aos derivados imidazólicos ou a qualquer componente do produto, em caso de suspeita de gravidez e durante a gravidez e a amamentação.; Os efeitos indesejados de Secdazol podem incluir náuseas, vômitos, dor de cabeça, tontura, sonolência, insônia, agitação, ansiedade, tremores, dor de estômago, diarreia, prisão de ventre, boca seca, dificuldade de digestão, gases, dor abdominal, erupção cutânea, coceira, urticária, alergia, inchaço, vermelhidão, dor, inchaço, coceira, urticária, alergia, inchaço, vermelhidão, dor, inchaço, coceira, urticária, alergia, inchaço, vermelhidão, dor, inchaço, coceira, urticária, alergia, inchaço, vermelhidão, dor, inchaço, coceira, urticária, alergia, inchaço, vermelhidão, dor, inchaço, coceira, urticária,
161;Aminovac gotas;O que Aminovac gotas pretende tratar?;A posologia indicada varia de acordo com a idade:; Aminovac gotas é indicado para tratar a amigdalite, que é uma inflamação da garganta, que pode ser causada por um vírus, bactérias ou fungos. Aminovac gotas é também indicado para tratar a faringite, que é uma inflamação da boca, e para tratar a sinusite, que é uma inflamação dos seios paranasais.   Aminovac gotas deve ser administrado de acordo com as seguintes instruções de utilização: começar por retirar a tampa protetora da pipeta e agitar vigorosamente o frasco durante 30 segundos. Seguidamente, retirar a pipeta do frasco e encaixar a pipeta no adaptador de diluição, que é um dispositivo que está na parte de baixo do frasco. Por fim, encher a pipeta com o líquido e acionar a pomada, que é uma pequena pedra branca que está na parte superior do frasco, para transferir o líquido para a
622;Sepurin comprimidos;Quais são as contraindicações para Sepurin comprimidos?;O Sepurin tem na sua composição metenamina e cloreto de metiltionínio, que têm ação antissética e antibacteriana em infecções das vias urinárias.; Sepurin comprimidos não deve ser usado em casos de alergia a qualquer um dos componentes da fórmula.  Não há contraindicações relatadas para Sepurin comprimidos.  Não há contraindicações relatadas para Sepurin comprimidos.  Não há contraindicações relatadas para Sepurin comprimidos.  Não há contraindicações relatadas para Sepurin comprimidos.  Não há contraindicações relatadas para Sepurin comprimidos.  Não há contraindicações relatadas para Sepurin comprimidos.  Não há contraindicações relatadas para Sepurin comprimidos.  Não há contraindicações relatadas para Sepurin comprimidos.  Não há contraindicações relatadas para Sepurin comprimidos.  Não há contraindicações relatadas para Sepurin comprimidos.  Não há contraindicações relatadas para Sepurin comprimidos.  Não há contraindicações relatadas para Sepurin compr
598;Temodal cápsulas;Quais são os possíveis efeitos colaterais associados a Temodal cápsulas?;Este medicamento é contraindicado para uso por pessoas com histórico de hipersensibilidade a seus componentes, bem como para pacientes com histórico de hipersensibilidade à dacarbazina.; Os possíveis efeitos colaterais associados a Temodal cápsulas podem incluir: náuseas, vômitos, diarreia, anorexia, perda de peso, diminuição do apetite, cansaço, febre, dor de cabeça, depressão, insônia, dor nas articulações, dor nas mãos e pés, dores musculares, dores nas costas, dores nas juntas, dores nas articulações, dores nas costas, dores nas mãos e pés, dores musculares, depressão, insônia, diminuição do apetite, náuseas, vômitos, anorexia, perda de peso, febre, cansaço, diminuição da libido, dor de cabeça, tontura, confusão, alucinações, agitação, tremores, convulsões, alterações do humor, alterações do humor, ansiedade, nervosismo, irritabilidade, agitação, espasmos muscular
280;Carnabol Kids;Qual é a posologia recomendada para Carnabol Kids?;• Gastrintestinais: náuseas, vômitos, diarréias, constipação intestinal, dores abdominais, úlcera péptica. • Dermatológicas: “rash” cutâneo, eritema de face, urticária, prurido generalizado, hiperqueratose. • Renais: síndrome de fanconi e falência renal.• Hematológicas: hipercolesterolemia.• Sistema nervoso central: neuropatia periférica.• Respiratórias: dispnéia e broncoespasmo relacionados a hipersensibilidade à tiamina.• Altas doses de piridoxina podem causar coloração amarelada da urina.• Pacientes diabéticos que recebem insulina ou medicamentos hipoglicemianes devem ser monitorados para hipoglicemia. Siga corretamente o modo de usar. não desaparecendo os sintomas, procure orientação médica ou de seu cirurgião-dentista. Não use o medicamento com o prazo de validade vencido. antes de usar observe o aspecto do medicamento.; Carnabol Kids deve ser administrado de acordo com as seguintes instruções de utilização: começar por lavar bem as mãos, retirar a tampa da embalagem, remover o lacre e enroscar o frasco no adaptador. Seguidamente, encher o frasco com água filtrada, ajustando o tampar until o frasco estiver cheio, não excedendo a dose máxima diária de 10 ml. Por fim, encaixar o frasco no adaptador, tampar e agitar vigorosamente até à completa dissolução do lacre.   Carnabol Kids é um suplemento alimentar à base de carnitina, que atua no organismo como um aminoácido essencial, sendo fundamental para a saúde do sistema muscular.  A carnitina é um composto que ajuda a transportar os ácidos graxos longos dos músculos para as células, ajudando assim a reduzir o cansaço muscular. Além disso, a carnit
56;Remeron;Há alguma condição específica em que o uso de Remeron é desaconselhado?;Após a administração oral de Remeron a substância ativa mirtazapina é rapidamente bem absorvida (biodisponibilidade aproximadamente igual a 50%), atingindo níveis plasmáticos de pico aproximadamente após 2 horas.; Não há nenhuma condição específica em que o uso de Remeron é desaconselhado. Remeron pode ser usado em qualquer situação em que seja necessário um antidepressivo.  Como ocorre com todos os antidepressivos, o uso de Remeron não é recomendado durante a gravidez e a amamentação.  Como ocorre com todos os antidepressivos, o uso de Remeron não é recomendado durante a gravidez e a amamentação.  Como ocorre com todos os antidepressivos, o uso de Remeron não é recomendado durante a gravidez e a amamentação.  Como ocorre com todos os antidepressivos, o uso de Remeron não é recomendado durante a gravidez e a amamentação.  Como ocorre com todos os antidepressivos, o uso de Remeron não é recomendado durante a gravidez e a amamentação.  Como ocorre com todos os antidepressivos, o uso de Remeron não é recomendado durante a gravidez
257;Flibanserin;Quais são as instruções para o uso correto de Flibanserin?;Alguns dos efeitos colaterais de Flibanserin podem incluir tontura, sonolência, náusea, sensação de desmaio, pressão arterial baixa e cansaço.; Flibanserin é um medicamento que deve ser usado de acordo com as seguintes instruções de utilização:  Adultos: A dose recomendada é de 1 comprimido, 1 vez por dia, de preferência à noite, antes de deitar.  Não exceder a dose máxima de 1 comprimido por dia.  Não tomar Flibanserin com alimentos.  Não tomar Flibanserin com bebidas alcoólicas.  Não tomar Flibanserin com outros medicamentos.  Se você não estiver cedo de acordo com o seu médico, não tome Flibanserin.  Você deve usar Flibanserin exclusivamente de acordo com as instruções do seu médico.  Não desaparecendo os sintomas, procure orientação médica.  Não use o medicamento com o prazo de validade vencido.  Antes de usar observe o aspecto do medicamento.  Não use medicamento com o prazo de validade vencido.  A
590;Mylicon;Como usar Mylicon?;Geralmente Mylicon gotas não causa efeitos secundários porque não é absorvido, mas quando surgem poderão aparecer enjôos e prisão de ventre.; Para usar Mylicon, deve-se dissolver o conteúdo de 1 sachê em 250 mL de água, podendo também ser usados outros líquidos desde que estejam frios.  Deve-se agitar bem o conteúdo do sachê em água, podendo também ser usados outros líquidos desde que estejam frios.  A solução deve ser ingerida logo após a preparação, não devendo ser guardada.   A reação adversa mais comum é a sensação de queimação no estômago.  Outras reações adversas são:  Dor de cabeça, tontura, náusea, vômito, diarreia, prisão de ventre, cansaço, sonolência, dor abdominal, aumento da frequência urinária, urina amarela, aumento da vontade de urinar, urina com sangue, aumento da vontade de urinar, urina escura, aumento da vontade de urinar, urina escura, dor abdominal, dor
697;Stavigile;Quais são os princípios do funcionamento de Stavigile?;Stavigile não deve ser utilizado por pessoas que tenham doença severa no fígado ou com pressão alta moderada ou severa não tratada.A modafinila pode causar em algumas pessoas tontura, alterações no raciocínio, dificultar o controle de movimentos, ou turvação nos olhos.;" Stavigile é um assistente prestativo e direto, que responde apenas aos que forem pedidos.  A sua função é ajudar a organizar e a agilizar as tarefas diárias, tais como:  Manter uma lista de tarefas e atividades;	Calendário de atendimento;	Lembrete de tarefas e de datas importantes;	Priorização de tarefas;	Reminders de tarefas e de datas importantes;	Lista de compras e despesas;	Lista de alterações de horários;	Lista de tarefas e de tarefas rotineiras;	Lista de tarefas e de tarefas não rotineiras;	Lista de tarefas e de tarefas repetitivas;	Lista de tarefas e de tarefas que devem ser feitas em um certo período de tempo;	Lista de tarefas e de tarefas que não devem ser feitas em um certo período de tempo;	Lista de tarefas e de tarefas que devem ser feitas em"
511;Teldane;Existem reações adversas conhecidas de Teldane?;Contra-indicada a administração concomitante de terfenadina com cetoconazol, itraconazol ou eritromicina.; Não existem relatos de reações adversas associadas ao uso de Teldane.  Como qualquer outro medicamento, deve-se informar o médico caso ocorram reações desagradáveis.  Como qualquer outro medicamento, deve-se informar o médico caso ocorram reações desagradáveis.  Não há relatos de superdosagem com Teldane.  Não há interações conhecidas com Teldane.  Não há recomendações especiais para o uso de Teldane.  Não há advertências ou recomendações especiais para o uso de Teldane.   Cada comprimido revestido de Teldane contém:  Paracetamol500mg  Excipientesq.s.p. 1 comprimido  (Excipientes: celulose microcristalina, croscarmelose sódica, dióxido de silício, estearato de magnésio, lactose monoidratada, celulose microcristalina, croscarmelose sódica,
262;Salonpas gel, spray e adesivo;Há alguma condição específica em que o uso de Salonpas gel, spray e adesivo é desaconselhado?;Salonpas é um medicamento com propriedades analgésicas e anti-inflamatórias, capaz de atuar sobre a região afetada, proporcionando o alivio da dor e do inchaço.; Não há nenhuma condição específica em que o uso de Salonpas gel, spray e adesivo é desaconselhado. Este produto pode ser usado em qualquer tipo de pele, independentemente de sua textura ou cor.  Veja outros produtos indicados para o alívio da dor.   Salonpas gel, spray e adesivo podem ser usados em qualquer tipo de pele, independentemente de sua textura ou cor.  Para o alívio da dor, o Salonpas gel, spray e adesivo podem ser aplicados em qualquer parte do corpo, sempre que necessário.  Para a dor no pescoço, aplicar Salonpas spray no pescoço, de preferência em uma região de 10 cm de comprimento, até 3 vezes ao dia.  Para a dor no corpo, aplicar Salonpas adesivo no corpo, sempre que necessário, até 3 vezes ao dia.  Para a dor nas costas, aplicar Salonpas gel no corpo, sempre que necessário, até 3 vezes ao dia.  Para o
540;Adesivo Dorflex Icy Hot;Quais são os possíveis efeitos colaterais associados a Adesivo Dorflex Icy Hot?;Dorflex Icy Hot está contraindicado para pacientes com alergia a algum dos componentes da fórmula. Além disso, a utilização de Dorflex Icy Hot está também contraindicada na pele ferida ou com rachaduras.; Os possíveis efeitos colaterais associados a Adesivo Dorflex Icy Hot podem incluir reações alérgicas, coceira, irritação, ressecamento, ardor, sensação de queimação, vermelhidão, dor, inchaço, descamação, queimação, dor ao urinar, sensação de frio, dor de cabeça, tontura, náusea, vômito, diarreia, dor no estômago, indigestão, dor no peito, falta de ar, tosse, dor nas costas, dor nas articulações, dor nas juntas, dor nos músculos, dor nas pernas, dor nos tornozelos, dor nos dedos, dor nos pés, dor na barriga, dor nas costas, dor nas juntas, dor no pescoço, dor no rosto, dor no pescoço, dor no pescoço, dor no pescoço, dor no pescoço, dor no pescoço, dor no pescoço, dor no pescoço, dor no pescoço,
549;Scaflam;Quais são as contraindicações para Scaflam?;Scaflam é um medicamento à base de nimesulida, que apresenta propriedades anti-inflamatórias, analgésicas e antipiréticas.; Scaflam está contraindicado em pacientes com história de alergia ao diclofenaco ou a qualquer outro componente da fórmula.  Scaflam não deve ser usado por pacientes com úlcera gastroduodenal em atividade.  Scaflam não deve ser usado por pacientes com insuficiência hepática grave.  Scaflam não deve ser usado por pacientes com insuficiência renal grave.  Scaflam não deve ser usado por pacientes com asma, rinite, pólipos nasais ou urticária crônica.  Scaflam não deve ser usado por pacientes com doenças cardíacas, pressão alta, doenças da tireoide, diabetes, doenças renais, hepáticas ou cardíacas.  Scaflam não deve ser usado por pacientes com história de hemorragia gastrintestinal.  Scaflam não deve ser usado por pacientes com úlcera péptica.
69;Remeron;Qual é a finalidade do medicamento Remeron?;A mirtazapina tem uma meia-vida de 20-40 horas e, portanto, Remeron deve ser administrado em dose única diária, preferencialmente à noite, ao deitar.; O Remeron é um medicamento antidepressivo, que pode ser usado sozinho ou em combinação com outros medicamentos, para tratar depressão.  Além disso, também pode ser usado para tratar outros tipos de transtornos de humor, como a ansiedade, e para tratar o transtorno do pânico com ou sem agorafobia.   Como usar o Remeron pela primeira vez?  A dose inicial recomendada é de 20 mg por dia, podendo ser aumentada para 40 mg por dia, dependendo da resposta do paciente.  A dose máxima recomendada é de 80 mg por dia.  Como usar o Remeron após a interrupção do tratamento?  Deve-se retornar ao médico que prescreveu o medicamento para avaliar a necessidade de continuar o tratamento.   Os efeitos colaterais mais comuns que podem ocorrer com o uso deste medicamento são aumento do peso, dor de cabeça, sonolência, tontura,
218;Simeco Plus;Quais os males que Simeco Plus pode me causar?;O uso de antiácidos contendo alumínio (exceto os que contenham fosfato de alumínio) é contra-indicado para pacientes com hipofosfatemia, devido à propriedade dos sais de alumínio de ligarem-se ao fosfato, depletando-o. O uso de antiácidos contendo magnésio é contra-indicado para pacientes com insuficiência renal grave, devido ao risco aumentado de ocorrência de hipermagnesemia.; Simeco Plus é um medicamento que tem na sua composição cloridrato de ciclobenzaprina, um relaxante muscular que pode causar efeitos colaterais como:  Efeitos colaterais comuns:  Dor de cabeça, sonolência, tontura, náusea, vômito, diarreia, prisão de ventre, boca seca, aumento da produção de suor, fraqueza muscular, cansaço, fadiga, sensação de embriaguez, perda de apetite, visão embaçada, visão dupla, visão embaçada, visão embaçada, visão embaçada, visão embaçada, visão embaçada, visão embaçada, visão embaçada, visão embaçada, visão embaçada, visão embaçada, visão embaçada, visão embaçada, visão embaçada, visão embaçada, visão embaçada, visão embaçada
614;Reminyl ER;O que Reminyl ER pretende tratar?;A dose inicial recomendada é de 8 mg/dia.; Reminyl ER é indicado para o tratamento da demência de tipo Alzheimer, com ou sem agitação, em adultos.  Além disso, Reminyl ER também é indicado para o tratamento da demência de tipo Alzheimer com agitação, em adultos, quando associado a um medicamento antipsicótico.   Como usar Reminyl ER pela primeira vez?  A dose inicial recomendada de Reminyl ER é de 8 mg, uma vez por dia.  A dose pode ser aumentada para 16 mg, uma vez por dia, após 4 semanas, se os sintomas da demência não melhorarem.  A dose máxima recomendada de Reminyl ER é de 32 mg, uma vez por dia.  A dose recomendada e a duração do tratamento com Reminyl ER devem ser indicadas pelo seu médico, pois estas dependem da gravidade dos sintomas manifestados e da resposta individual de cada paciente ao tratamento.  Como usar Reminyl ER pela segunda vez?  Se já usou Remin
23;Telmisartana;Qual é a finalidade do medicamento Telmisartana?;Tratamento da hipertensão arterial; A finalidade do medicamento Telmisartana é a redução do risco de um ataque cardíaco em pacientes com pressão alta e angina do peito.  O Telmisartana é usado para tratar a hipertensão arterial e reduzir o risco de um ataque cardíaco.   Como você não é um médico, não deve utilizar este medicamento.  Você deve falar com seu médico antes de tomar Telmisartana.  Informe seu médico sobre qualquer medicamento que esteja usando, antes do início, ou durante o tratamento.  Se você tiver alguma dúvida, procure orientação do farmacêutico ou de seu médico, ou cirurgião-dentista.  Não use este medicamento sem o conhecimento do seu médico.  A finalidade do medicamento Telmisartana é a redução do risco de um ataque cardíaco em pacientes com pressão alta e angina do peito.  O Telmisartana é usado para tratar a hipertens
111;Sulfiram;Qual é a posologia recomendada para Sulfiram?;Os efeitos colaterais dentro da posologia recomendada são raros e resumem-se a alguns relatos particulares a respeito da irritação e sensibilidade cutânea ao monossulfiram. Raramente podem ocorrer tonturas, fadiga, cefaléia e dermatite.; A posologia recomendada para Sulfiram é de 1 comprimido de 100 mg, 3 vezes ao dia, de preferência de manhã, à tarde e à noite.  Veja outros remédios usados para tratar a depressão.   Os efeitos colaterais mais comuns que podem ocorrer com o uso de Sulfiram são náuseas, vômitos, dor de cabeça, tontura, sonolência, insônia, irritabilidade, tremores, vertigem, distúrbios gastrointestinais, aumento da sudorese, erupções cutâneas, coceira, urticária, dores musculares e nas articulações, aumento da pressão arterial, palpitações, taquicardia, hipertensão, dor abdominal, diarreia, prisão de ventre, vômito, boca seca, aumento da sensibilidade da pele ao sol, cansaço, aumento da transpiração, aumento da libido,
706;Propranolol;Quais são os possíveis efeitos colaterais associados a Propranolol?;O propranolol não deve ser usado em pessoas com insuficiência cardíaca descompensada, choque cardiogênico, bloqueio atrioventricular de segundo e terceiro graus, bradicardia grave, asma brônquica, síndrome de Raynaud e gravidez.;" Os possíveis efeitos colaterais associados a Propranolol podem incluir:  Reações alérgicas, incluindo coceira, inchaço, vermelhidão e urticária na pele;	Aumento dos batimentos cardíacos;	Baixos níveis de açúcar no sangue;	Dificuldade em respirar;	Dificuldade em urinar;	Dor de cabeça;	Tontura;	Aumento da pressão arterial;	Aumento da frequência cardíaca;	Aumento da frequência urinária;	Dificuldade para dormir;	Aumento da sensibilidade da pele ao sol;	Aumento da sensibilidade da pele ao calor;	Aumento da sensibilidade da pele à luz;	Aumento da sensibilidade da pele à umidade;	Aumento da sensibilidade da pele aos gases;	Aumento da sensibilidade da pele às substâncias químicas presentes na"
